# x_m,y_m,w_tr_right_m,w_tr_left_m
-98.431,118.466,1.500,1.500
-97.437,118.583,1.500,1.500
-96.443,118.701,1.500,1.500
-95.448,118.818,1.500,1.500
-94.454,118.936,1.500,1.500
-93.460,119.053,1.500,1.500
-92.466,119.171,1.500,1.500
-91.472,119.288,1.500,1.500
-90.477,119.406,1.500,1.500
-89.483,119.523,1.500,1.500
-88.489,119.641,1.500,1.500
-87.495,119.758,1.500,1.500
-86.501,119.876,1.500,1.500
-85.506,119.993,1.500,1.500
-84.512,120.111,1.500,1.500
-83.518,120.228,1.500,1.500
-82.524,120.346,1.500,1.500
-81.529,120.463,1.500,1.500
-80.535,120.581,1.500,1.500
-79.541,120.696,1.500,1.500
-78.546,120.809,1.500,1.500
-77.551,120.918,1.500,1.500
-76.555,121.024,1.500,1.500
-75.559,121.127,1.500,1.500
-74.563,121.227,1.500,1.500
-73.567,121.324,1.500,1.500
-72.570,121.417,1.500,1.500
-71.573,121.508,1.500,1.500
-70.576,121.595,1.500,1.500
-69.578,121.679,1.500,1.500
-68.580,121.760,1.500,1.500
-67.582,121.838,1.500,1.500
-66.584,121.913,1.500,1.500
-65.585,121.984,1.500,1.500
-64.586,122.052,1.500,1.500
-63.587,122.117,1.500,1.500
-62.588,122.179,1.500,1.500
-61.589,122.238,1.500,1.500
-60.589,122.294,1.500,1.500
-59.589,122.346,1.500,1.500
-58.590,122.396,1.500,1.500
-57.589,122.442,1.500,1.500
-56.589,122.485,1.500,1.500
-55.589,122.525,1.500,1.500
-54.588,122.562,1.500,1.500
-53.588,122.595,1.500,1.500
-52.587,122.625,1.500,1.500
-51.586,122.653,1.500,1.500
-50.586,122.677,1.500,1.500
-49.585,122.698,1.500,1.500
-48.584,122.715,1.500,1.500
-47.583,122.730,1.500,1.500
-46.582,122.741,1.500,1.500
-45.580,122.749,1.500,1.500
-44.579,122.754,1.500,1.500
-43.578,122.756,1.500,1.500
-42.577,122.755,1.500,1.500
-41.576,122.750,1.500,1.500
-40.575,122.743,1.500,1.500
-39.574,122.732,1.500,1.500
-38.573,122.718,1.500,1.500
-37.572,122.701,1.500,1.500
-36.571,122.681,1.500,1.500
-35.570,122.657,1.500,1.500
-34.569,122.631,1.500,1.500
-33.568,122.601,1.500,1.500
-32.568,122.568,1.500,1.500
-31.567,122.532,1.500,1.500
-30.567,122.492,1.500,1.500
-29.567,122.450,1.500,1.500
-28.567,122.404,1.500,1.500
-27.567,122.355,1.500,1.500
-26.567,122.304,1.500,1.500
-25.567,122.248,1.500,1.500
-24.568,122.190,1.500,1.500
-23.569,122.129,1.500,1.500
-22.570,122.064,1.500,1.500
-21.571,121.996,1.500,1.500
-20.572,121.925,1.500,1.500
-19.574,121.851,1.500,1.500
-18.576,121.774,1.500,1.500
-17.578,121.694,1.500,1.500
-16.580,121.610,1.500,1.500
-15.583,121.524,1.500,1.500
-14.585,121.434,1.500,1.500
-13.589,121.341,1.500,1.500
-12.592,121.245,1.500,1.500
-11.596,121.145,1.500,1.500
-10.600,121.043,1.500,1.500
-9.604,120.938,1.500,1.500
-8.609,120.833,1.500,1.500
-7.613,120.728,1.500,1.500
-6.618,120.623,1.500,1.500
-5.622,120.519,1.500,1.500
-4.626,120.414,1.500,1.500
-3.631,120.309,1.500,1.500
-2.635,120.204,1.500,1.500
-1.639,120.099,1.500,1.500
-0.644,119.994,1.500,1.500
0.352,119.889,1.500,1.500
1.347,119.784,1.500,1.500
2.343,119.679,1.500,1.500
3.339,119.575,1.500,1.500
4.334,119.470,1.500,1.500
5.330,119.365,1.500,1.500
6.326,119.260,1.500,1.500
7.321,119.155,1.500,1.500
8.317,119.050,1.500,1.500
9.312,118.943,1.500,1.500
10.307,118.826,1.500,1.500
11.300,118.699,1.500,1.500
12.291,118.561,1.500,1.500
13.282,118.415,1.500,1.500
14.270,118.258,1.500,1.500
15.257,118.091,1.500,1.500
16.243,117.914,1.500,1.500
17.226,117.727,1.500,1.500
18.208,117.531,1.500,1.500
19.188,117.325,1.500,1.500
20.165,117.109,1.500,1.500
21.141,116.883,1.500,1.500
22.114,116.647,1.500,1.500
23.084,116.401,1.500,1.500
24.052,116.146,1.500,1.500
25.018,115.881,1.500,1.500
25.980,115.607,1.500,1.500
26.940,115.323,1.500,1.500
27.897,115.029,1.500,1.500
28.852,114.725,1.500,1.500
29.802,114.412,1.500,1.500
30.750,114.090,1.500,1.500
31.695,113.758,1.500,1.500
32.636,113.416,1.500,1.500
33.573,113.065,1.500,1.500
34.508,112.705,1.500,1.500
35.438,112.335,1.500,1.500
36.365,111.956,1.500,1.500
37.287,111.568,1.500,1.500
38.206,111.171,1.500,1.500
39.121,110.764,1.500,1.500
40.032,110.349,1.500,1.500
40.942,109.931,1.500,1.500
41.851,109.511,1.500,1.500
42.754,109.080,1.500,1.500
43.651,108.636,1.500,1.500
44.543,108.181,1.500,1.500
45.428,107.713,1.500,1.500
46.307,107.234,1.500,1.500
47.180,106.743,1.500,1.500
48.046,106.241,1.500,1.500
48.905,105.727,1.500,1.500
49.758,105.202,1.500,1.500
50.603,104.666,1.500,1.500
51.441,104.118,1.500,1.500
52.272,103.559,1.500,1.500
53.095,102.989,1.500,1.500
53.910,102.409,1.500,1.500
54.718,101.817,1.500,1.500
55.518,101.215,1.500,1.500
56.309,100.602,1.500,1.500
57.093,99.979,1.500,1.500
57.868,99.345,1.500,1.500
58.634,98.701,1.500,1.500
59.392,98.047,1.500,1.500
60.142,97.383,1.500,1.500
60.882,96.709,1.500,1.500
61.613,96.025,1.500,1.500
62.335,95.332,1.500,1.500
63.048,94.629,1.500,1.500
63.751,93.916,1.500,1.500
64.445,93.194,1.500,1.500
65.124,92.459,1.500,1.500
65.775,91.698,1.500,1.500
66.395,90.912,1.500,1.500
66.984,90.103,1.500,1.500
67.540,89.270,1.500,1.500
68.062,88.416,1.500,1.500
68.551,87.542,1.500,1.500
69.004,86.649,1.500,1.500
69.422,85.740,1.500,1.500
69.803,84.814,1.500,1.500
70.147,83.874,1.500,1.500
70.454,82.921,1.500,1.500
70.723,81.956,1.500,1.500
70.953,80.982,1.500,1.500
71.145,80.000,1.500,1.500
71.297,79.010,1.500,1.500
71.410,78.015,1.500,1.500
71.484,77.017,1.500,1.500
71.518,76.016,1.500,1.500
71.513,75.015,1.500,1.500
71.467,74.015,1.500,1.500
71.382,73.018,1.500,1.500
71.258,72.024,1.500,1.500
71.095,71.036,1.500,1.500
70.892,70.056,1.500,1.500
70.653,69.084,1.500,1.500
70.446,68.107,1.500,1.500
70.284,67.112,1.500,1.500
70.170,66.091,1.500,1.500
70.103,65.046,1.500,1.500
70.084,63.977,1.500,1.500
70.112,62.882,1.500,1.500
70.188,61.763,1.500,1.500
70.333,60.655,1.500,1.500
70.592,59.633,1.500,1.500
70.966,58.699,1.500,1.500
71.456,57.853,1.500,1.500
72.060,57.096,1.500,1.500
72.780,56.426,1.500,1.500
73.569,55.806,1.500,1.500
74.326,55.151,1.500,1.500
75.062,54.472,1.500,1.500
75.775,53.770,1.500,1.500
76.465,53.043,1.500,1.500
77.129,52.295,1.500,1.500
77.768,51.524,1.500,1.500
78.382,50.733,1.500,1.500
78.968,49.922,1.500,1.500
79.527,49.091,1.500,1.500
80.059,48.243,1.500,1.500
80.561,47.377,1.500,1.500
81.035,46.495,1.500,1.500
81.479,45.597,1.500,1.500
81.892,44.686,1.500,1.500
82.275,43.761,1.500,1.500
82.627,42.823,1.500,1.500
82.948,41.875,1.500,1.500
83.236,40.916,1.500,1.500
83.493,39.949,1.500,1.500
83.717,38.973,1.500,1.500
83.909,37.990,1.500,1.500
