# e6247bfc-1d50-4461-bed9-335d7110bea7
# b9e4f3293e9e4d2984f4a67f67f4a9fcba575979
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -98.5276478; 119.4285899; -1.4694469; -0.0006364; 27.7919029; 2.6947076
0.9992201; -97.5335282; 119.5293646; -1.4701003; -0.0006714; 27.8886192; 2.6925790
1.9984401; -96.5393299; 119.6294733; -1.4707887; -0.0007064; 27.9849252; 2.6904522
2.9976602; -95.5450724; 119.7288792; -1.4715121; -0.0007414; 28.0808252; 2.6883270
3.9968802; -94.5507304; 119.8275495; -1.4722704; -0.0007764; 28.1763235; 2.6862035
4.9961003; -93.5563237; 119.9254473; -1.4730637; -0.0008114; 28.2714241; 2.6840817
5.9953203; -92.5618260; 120.0225399; -1.4738919; -0.0008464; 28.3661312; 2.6819615
6.9945404; -91.5672588; 120.1187903; -1.4747551; -0.0008814; 28.4604486; 2.6798430
7.9937604; -90.5725946; 120.2141659; -1.4756533; -0.0009164; 28.5543804; 2.6777262
8.9929805; -89.5778564; 120.3086296; -1.4765864; -0.0009513; 28.6479304; 2.6756111
9.9922005; -88.5830158; 120.4021488; -1.4775545; -0.0009863; 28.7411024; 2.6734976
10.9914206; -87.5880967; 120.4946862; -1.4785575; -0.0010213; 28.8339000; 2.6713859
11.9906406; -86.5930703; 120.5862095; -1.4795956; -0.0010563; 28.9263270; 2.6692757
12.9898607; -85.5979615; 120.6766813; -1.4806685; -0.0010913; 29.0183870; 2.6671673
13.9890807; -84.6027407; 120.7660692; -1.4817765; -0.0011263; 29.1100834; 2.6650605
14.9883008; -83.6074340; 120.8543357; -1.4829193; -0.0011613; 29.2014199; 2.6629554
15.9875208; -82.6120114; 120.9414485; -1.4840972; -0.0011963; 29.2923997; 2.6608519
16.9867409; -81.6164996; 121.0273701; -1.4853101; -0.0012313; 29.3830263; 2.6587501
17.9859610; -80.6208686; 121.1120680; -1.4865579; -0.0012663; 29.4733029; 2.6566500
18.9851810; -79.6251456; 121.1955049; -1.4878407; -0.0013013; 29.5632329; 2.6545515
19.9844011; -78.6293004; 121.2776482; -1.4891584; -0.0013363; 29.6528195; 2.6524547
20.9836211; -77.6333610; 121.3584606; -1.4905112; -0.0013713; 29.7420657; 2.6503595
21.9828412; -76.6372973; 121.4379093; -1.4918989; -0.0014063; 29.8309748; 2.6482660
22.9820612; -75.6411373; 121.5159572; -1.4933216; -0.0014413; 29.9195498; 2.6461741
23.9812813; -74.6448516; 121.5925714; -1.4947793; -0.0014763; 30.0077937; 2.6440839
24.9805013; -73.6484683; 121.6677147; -1.4962720; -0.0015114; 30.0957094; 2.6419954
25.9797214; -72.6519584; 121.7413543; -1.4977997; -0.0015464; 30.1832999; 2.6399085
26.9789414; -71.6553500; 121.8134530; -1.4993623; -0.0015814; 30.2705681; 2.6378232
27.9781615; -70.6586150; 121.8839779; -1.5009599; -0.0016164; 30.3575168; 2.6357396
28.9773815; -69.6617812; 121.9528918; -1.5025925; -0.0016514; 30.4441487; 2.6336576
29.9766016; -68.6648213; 122.0201617; -1.5042602; -0.0016864; 30.5304667; 2.6315773
30.9758216; -67.6677630; 122.0857506; -1.5059627; -0.0017214; 30.6164735; 2.6294986
31.9750417; -66.6705801; 122.1496253; -1.5077003; -0.0017564; 30.7021717; 2.6274216
32.9742617; -65.6732997; 122.2117490; -1.5094728; -0.0017914; 30.7875639; 2.6253462
33.9734818; -64.6758968; 122.2720882; -1.5112804; -0.0018265; 30.8726527; 2.6232725
34.9727019; -63.6783979; 122.3306063; -1.5131227; -0.0018611; 30.9574408; 2.6212003
35.9719219; -62.6807799; 122.3872700; -1.5149997; -0.0018958; 31.0419305; 2.6191299
36.9711420; -61.6830681; 122.4420428; -1.5169121; -0.0019320; 31.1261245; 2.6170610
37.9703620; -60.6852409; 122.4948902; -1.5188607; -0.0019682; 31.2100251; 2.6149938
38.9695821; -59.6873245; 122.5457756; -1.5208417; -0.0019968; 31.2936347; 2.6129282
39.9688021; -58.6892947; 122.5946704; -1.5228512; -0.0020253; 31.3769558; 2.6108643
40.9680222; -57.6911829; 122.6415459; -1.5248856; -0.0020466; 31.4599906; 2.6088020
41.9672422; -56.6929615; 122.6863809; -1.5269412; -0.0020678; 31.5427415; 2.6067413
42.9664623; -55.6946650; 122.7291523; -1.5290187; -0.0020905; 31.6252108; 2.6046822
43.9656823; -54.6962663; 122.7698390; -1.5311190; -0.0021133; 31.7074007; 2.6026248
44.9649024; -53.6977983; 122.8084168; -1.5332418; -0.0021357; 31.7893135; 2.6005690
45.9641224; -52.6992365; 122.8448643; -1.5353870; -0.0021581; 31.8709512; 2.5985148
46.9633425; -51.7006117; 122.8791580; -1.5375546; -0.0021806; 31.9523162; 2.5964622
47.9625625; -50.7019018; 122.9112760; -1.5397448; -0.0022032; 32.0334104; 2.5944113
48.9617826; -49.7031357; 122.9411950; -1.5419576; -0.0022257; 32.1142361; 2.5923620
49.9610026; -48.7042940; 122.9688930; -1.5441928; -0.0022483; 32.1947952; 2.5903143
50.9602227; -47.7054035; 122.9943467; -1.5464507; -0.0022709; 32.2750899; 2.5882682
51.9594428; -46.7064477; 123.0175339; -1.5487311; -0.0022935; 32.3551221; 2.5862237
52.9586628; -45.7074508; 123.0384316; -1.5510342; -0.0023162; 32.4348939; 2.5841809
53.9578829; -44.7083994; 123.0570172; -1.5533599; -0.0023389; 32.5144071; 2.5821397
54.9571029; -43.7093155; 123.0732678; -1.5557083; -0.0023616; 32.5936638; 2.5801000
55.9563230; -42.7101884; 123.0871609; -1.5580795; -0.0023843; 32.6726659; 2.5780620
56.9555430; -41.7110380; 123.0986734; -1.5604733; -0.0024071; 32.7514152; 2.5760256
57.9547631; -40.7118566; 123.1077828; -1.5628899; -0.0024299; 32.8299137; 2.5739908
58.9539831; -39.7126615; 123.1144661; -1.5653294; -0.0024527; 32.9081631; 2.5719576
59.9532032; -38.7134483; 123.1187006; -1.5677916; -0.0024756; 32.9861653; 2.5699260
60.9524232; -37.7142317; 123.1204633; -1.5702767; -0.0024985; 33.0639221; 2.5678961
61.9516433; -36.7150104; 123.1197314; -1.5727846; -0.0025214; 33.1414353; 2.5658677
62.9508633; -35.7157969; 123.1164821; -1.5753155; -0.0025443; 33.2187066; 2.5638409
